出售單位,發電設備,購買者,能源類型,移轉量(MWh),憑證發放年份,移轉日期
臺北市政府產業發展局,臺北市政府產業發展局 興隆市場,愛普生捷修網股份有限公司,太陽能,17,2025,2026-04-18
財團法人工業技術研究院,財團法人工業技術研究院-中興院區,奧美廣告股份有限公司,太陽能,507,2025,2026-04-18
財團法人工業技術研究院,工業技術研究院中興院區77館太陽光電,奧美廣告股份有限公司,太陽能,58,2025,2026-04-18
台灣化學纖維股份有限公司,台化新港原絲廠NF6廠房,香港商雷夫羅倫有限公司台灣分公司,太陽能,147,2025,2026-04-17
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,香港商雷夫羅倫有限公司台灣分公司,太陽能,119,2025,2026-04-17
台灣化學纖維股份有限公司,台化新港公用廠保養工廠及苛化廠房,香港商雷夫羅倫有限公司台灣分公司,太陽能,69,2025,2026-04-17
台灣化學纖維股份有限公司,台化新港PABS廠務大樓及原料倉庫,香港商雷夫羅倫有限公司台灣分公司,太陽能,182,2025,2026-04-17
至陽塑膠工業股份有限公司,至陽塑膠工業股份有限公司,領導力企業管理顧問有限公司,太陽能,35,2025,2026-04-17
台灣化學纖維股份有限公司,台化新港PABS廠務大樓及原料倉庫,美商彭博新聞有限公司台北分公司,太陽能,126,2025,2026-04-17
全台晶像股份有限公司,全台晶像股份有限公司-第二期,台康生技股份有限公司,太陽能,31,2025,2026-04-16
英屬開曼群島商功成資本有限公司台灣分公司,英屬開曼群島商功成資本有限公司台灣分公司,美商高盛亞洲證券有限公司台北分公司,太陽能,123,2025,2026-04-16
高雄市動物保護處,燕巢動物保護關愛園區(開放區),臺灣橫河股份有限公司高雄分公司,太陽能,9,2025,2026-04-16
隆門股份有限公司,隆門PV0032,美商妥斯特國際股份有限公司台灣分公司,太陽能,6,2025,2026-04-14
天力離岸風電科技股份有限公司,臺中廠(B棟)-195.5kWp太陽光電發電系統,雲豹能源科技股份有限公司,太陽能,26,2025,2026-04-14
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台灣何格納斯股份有限公司,生質能,16,2025,2026-04-14
利佳興業股份有限公司,利佳興業股份有限公司,國泰人壽保險股份有限公司,太陽能,86,2025,2026-04-14
強新工業股份有限公司,強新六廠,瑞士商菲利普莫里斯股份有限公司台灣分公司,太陽能,229,2025,2026-04-14
天力離岸風電科技股份有限公司,臺中廠(B棟)-195.5kWp太陽光電發電系統,台灣愛普生科技股份有限公司,太陽能,13,2025,2026-04-14
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,台灣愛普生科技股份有限公司,太陽能,23,2025,2026-04-14
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,印度商塔塔顧問服務有限公司台灣分公司,生質能,126,2025,2026-04-14
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,澳商澳盛銀行集團股份有限公司,生質能,220,2025,2026-04-14
臺北市政府消防局,臺北市政府消防局寶橋分隊,台灣愛普生科技股份有限公司,太陽能,3,2025,2026-04-14
高雄市動物保護處,燕巢動物保護關愛園區(行政區),博仲法律事務所,太陽能,10.923,2025,2026-04-14
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,香港商吉立亞醫藥有限公司台灣分公司,生質能,75,2025,2026-04-14
臺北市立金華國民中學,臺北市立金華國民中學,美商高盛亞洲證券有限公司台北分公司,太陽能,6,2025,2026-04-14
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區,奧美廣告股份有限公司,太陽能,78,2025,2026-04-14
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區83.49kW,奧美廣告股份有限公司,太陽能,29,2025,2026-04-14
至陽塑膠工業股份有限公司,至陽塑膠工業股份有限公司,台灣中外製藥股份有限公司,太陽能,15,2025,2026-04-09
財團法人工業技術研究院-光復院區,財團法人工業技術研究院-光復院區,新加坡商輝達開發有限公司台灣分公司,太陽能,209,2025,2026-04-09
財團法人工業技術研究院,工業技術研究院中興院區79館太陽光電,新加坡商輝達開發有限公司台灣分公司,太陽能,45,2025,2026-04-09
財團法人工業技術研究院-南創園區,財團法人工業技術研究院-南創園區,新加坡商輝達開發有限公司台灣分公司,太陽能,13,2025,2026-04-09
財團法人工業技術研究院-中創園區,財團法人工業技術研究院-中創園區,新加坡商輝達開發有限公司台灣分公司,太陽能,61,2025,2026-04-09
允強實業股份有限公司,斗六二廠,美商利惠國際有限公司台灣分公司,太陽能,500,2025,2026-04-08
易宏熱鍍鋅工業股份有限公司,易宏熱鍍鋅工業股份有限公司,新加坡商凱捷管理顧問股份有限公司台灣分公司,太陽能,5,2025,2026-04-08
天力離岸風電科技股份有限公司,臺中廠(B棟)-195.5kWp太陽光電發電系統,百慕達商泰科資訊科技有限公司台灣分公司,太陽能,4,2025,2026-04-08
永喆環保科技有限公司,永喆樹林一廠,博仲法律事務所,太陽能,16,2025,2026-04-07
